team,elo,attack,defense,recent_form,fifa_rank_proxy,training_temp_c,training_humidity_pct,training_altitude_m,data_quality,last_updated,notes
England,1980.0,0.82,0.8,0.78,4,15.0,70.0,50,manual_csv,2026-06-17,High-tier UEFA side; strong qualification profile
Croatia,1855.0,0.7,0.74,0.67,11,18.0,65.0,122,manual_csv,2026-06-17,Experienced tournament team; strong midfield control
Portugal,1965.0,0.84,0.76,0.76,6,17.0,68.0,100,manual_csv,2026-06-17,Elite attacking profile
DR Congo,1625.0,0.48,0.5,0.52,60,26.0,75.0,240,manual_csv,2026-06-17,Physical profile; lower rating prior
Ghana,1705.0,0.58,0.55,0.51,48,27.0,78.0,61,manual_csv,2026-06-17,Athletic profile; variable recent form
Panama,1585.0,0.44,0.45,0.55,67,28.0,80.0,30,manual_csv,2026-06-17,CONCACAF side; accustomed to heat/humidity
Uzbekistan,1605.0,0.46,0.5,0.58,62,27.0,45.0,455,manual_csv,2026-06-17,Improving Asian side
Colombia,1810.0,0.72,0.68,0.74,14,24.0,72.0,2640,manual_csv,2026-06-17,Strong South American side
Czechia,1735.0,0.6,0.62,0.6,39,17.0,65.0,200,manual_csv,2026-06-17,Structured UEFA side
South Africa,1540.0,0.42,0.44,0.48,74,20.0,55.0,1750,manual_csv,2026-06-17,Lower rating prior
Switzerland,1815.0,0.68,0.72,0.65,18,16.0,65.0,408,manual_csv,2026-06-17,Stable tournament profile
Bosnia and Herzegovina,1635.0,0.5,0.49,0.46,65,18.0,62.0,518,manual_csv,2026-06-17,Lower-middle UEFA profile
Canada,1720.0,0.61,0.55,0.63,37,12.0,65.0,100,manual_csv,2026-06-17,Home-continent advantage
Qatar,1580.0,0.45,0.43,0.47,70,31.0,60.0,10,manual_csv,2026-06-17,Heat-adapted profile
Mexico,1785.0,0.66,0.64,0.66,20,22.0,60.0,2240,manual_csv,2026-06-17,Home-country advantage
South Korea,1765.0,0.64,0.61,0.64,23,15.0,65.0,38,manual_csv,2026-06-17,Organized AFC side with strong transition profile
Algeria,1826.4,0.569,0.576,0.594,55,20.0,60.0,50,generated_from_behavior,2026-06-21,Generated from historical behavior; manual review recommended.
Argentina,2058.8,0.677,0.704,0.751,11,20.0,60.0,20,external_benchmark_calibrated,2026-06-21,Generated from historical behavior; manual review recommended. External benchmark calibrated from FIFA/Elo prior; formula documented; review after backtesting.
Australia,1873.2,0.547,0.579,0.585,46,20.0,60.0,50,generated_from_behavior,2026-06-21,Generated from historical behavior; manual review recommended.
Austria,1820.5,0.595,0.579,0.614,56,20.0,60.0,171,generated_from_behavior,2026-06-21,Generated from historical behavior; manual review recommended.
Belgium,1906.8,0.585,0.564,0.574,39,20.0,60.0,70,generated_from_behavior,2026-06-21,Generated from historical behavior; manual review recommended.
